07-06-2019	00001	LISTA.TXT
1	0562506	1	74.61	69.21	65.91	61.89	65.84	29/4/2019
1	0562506	2	74.61	69.21	65.91	61.89	65.84	29/4/2019
1	0562507	1	74.61	69.21	65.91	61.89	65.84	29/4/2019
1	0562507	2	74.61	69.21	65.91	61.89	65.84	29/4/2019
1	0562509	1	76.78	71.22	67.83	63.69	67.76	29/4/2019
1	0562509	2	76.78	71.22	67.83	63.69	67.76	29/4/2019
1	0562510	1	83.38	77.35	73.67	69.17	73.58	29/4/2019
1	0562510	2	83.38	77.35	73.67	69.17	73.58	29/4/2019
1	620506	1	188.46	174.82	166.5	156.34	166.32	29/4/2019
1	620506	2	188.46	174.82	166.5	156.34	166.32	29/4/2019
1	620507	1	215.26	199.68	190.17	178.56	189.96	29/4/2019
1	620507	2	215.26	199.68	190.17	178.56	189.96	29/4/2019
1	620508	1	241.8	224.3	213.62	200.58	213.38	29/4/2019
1	620508	2	241.8	224.3	213.62	200.58	213.38	29/4/2019
1	6201209	1	265.4	246.2	234.48	220.17	234.22	29/4/2019
1	6201209	2	265.4	246.2	234.48	220.17	234.22	29/4/2019
1	6201210	1	294.75	273.42	260.4	244.51	260.12	29/4/2019
1	6201210	2	294.75	273.42	260.4	244.51	260.12	29/4/2019
1	6201212	1	417.5	387.29	368.85	346.34	368.45	29/4/2019
1	6201212	2	417.5	387.29	368.85	346.34	368.45	29/4/2019
1	562991127	1	1099.47	1019.92	971.35	912.07	970.29	29/4/2019
1	562991127	2	1099.47	1019.92	971.35	912.07	970.29	29/4/2019
1	562991140	1	1186.93	1101.05	1048.62	984.62	1047.47	29/4/2019
1	562991140	2	1186.93	1101.05	1048.62	984.62	1047.47	29/4/2019
1	562991146	1	1374.12	1274.69	1213.99	1139.9	1212.66	29/4/2019
1	562991146	2	1374.12	1274.69	1213.99	1139.9	1212.66	29/4/2019
1	562991152	1	1446.17	1341.53	1277.65	1199.67	1276.24	29/4/2019
1	562991152	2	1446.17	1341.53	1277.65	1199.67	1276.24	29/4/2019
1	56299201	1	299.82	278.13	264.89	248.72	264.6	29/4/2019
1	56299201	2	299.82	278.13	264.89	248.72	264.6	29/4/2019
1	56299202	1	367.25	340.68	324.46	304.66	324.11	29/4/2019
